Word, Freq, Freq(%)
the, 10, 4%
was, 8, 3%
they, 8, 3%
a, 8, 3%
had, 6, 2%
and, 6, 2%
Dursley, 5, 2%
in, 5, 2%
t, 5, 2%
Mrs, 5, 2%
didn, 4, 1%
of, 4, 1%
that, 4, 1%
to, 4, 1%
The, 4, 1%
Dursleys, 4, 1%
Potters, 4, 1%
were, 4, 1%
very, 3, 1%
it, 3, 1%
but, 3, 1%
as, 3, 1%
her, 3, 1%
sister, 3, 1%
with, 3, 1%
for, 3, 1%
have, 2, 1%
you, 2, 1%
good, 2, 1%
if, 2, 1%
Dudley, 2, 1%
much, 2, 1%
neck, 2, 1%
neighbors, 2, 1%
would, 2, 1%
say, 2, 1%
she, 2, 1%
small, 2, 1%
son, 2, 1%
which, 2, 1%
their, 2, 1%
think, 2, 1%
be, 2, 1%
boy, 2, 1%
Mr, 2, 1%
because, 2, 1%
called, 2, 1%
They, 2, 1%
arrived, 1, 0%
secret, 1, 0%
shuddered, 1, 0%
anywhere, 1, 0%
anything, 1, 0%
so, 1, 0%
somebody, 1, 0%
anyone, 1, 0%
spent, 1, 0%
spying, 1, 0%
strange, 1, 0%
street, 1, 0%
several, 1, 0%
seen, 1, 0%
out, 1, 0%
away, 1, 0%
s, 1, 0%
reason, 1, 0%
proud, 1, 0%
pretended, 1, 0%
possible, 1, 0%
perfectly, 1, 0%
people, 1, 0%
over, 1, 0%
on, 1, 0%
twice, 1, 0%
Drive, 1, 0%
years, 1, 0%
Grunnings, 1, 0%
He, 1, 0%
what, 1, 0%
Potter, 1, 0%
Privet, 1, 0%
wanted, 1, 0%
want, 1, 0%
usual, 1, 0%
useful, 1, 0%
unDursleyish, 1, 0%
such, 1, 0%
too, 1, 0%
This, 1, 0%
time, 1, 0%
about, 1, 0%
thin, 1, 0%
also, 1, 0%
there, 1, 0%
although, 1, 0%
amount, 1, 0%
another, 1, 0%
thank, 1, 0%
any, 1, 0%
craning, 1, 0%
husband, 1, 0%
hold, 1, 0%
him, 1, 0%
he, 1, 0%
came, 1, 0%
hardly, 1, 0%
hadn, 1, 0%
child, 1, 0%
greatest, 1, 0%
could, 1, 0%
garden, 1, 0%
four, 1, 0%
found, 1, 0%
blonde, 1, 0%
firm, 1, 0%
finer, 1, 0%
fences, 1, 0%
fear, 1, 0%
fact, 1, 0%
expect, 1, 0%
everything, 1, 0%
even, 1, 0%
drills, 1, 0%
discover, 1, 0%
director, 1, 0%
d, 1, 0%
beefy, 1, 0%
opinion, 1, 0%
did, 1, 0%
number, 1, 0%
nothing, 1, 0%
normal, 1, 0%
nonsense, 1, 0%
no, 1, 0%
never, 1, 0%
bear, 1, 0%
nearly, 1, 0%
mysterious, 1, 0%
mustache, 1, 0%
or, 1, 0%
mixing, 1, 0%
met, 1, 0%
man, 1, 0%
made, 1, 0%
like, 1, 0%
last, 1, 0%
large, 1, 0%
knew, 1, 0%
keeping, 1, 0%
just, 1, 0%
big, 1, 0%
involved, 1, 0%
